Customer_ID,Age,Gender,Policy_Type,Premium,Claim_Count,Region,Date_Joined,Customer_Satisfaction
CUST_1083,18.0,0,0,3941.88,2.0,2,2022-01-05,3.0
CUST_1053,47.5,0,0,4023.55,10.0,0,2020-04-27,6.0
CUST_1070,49.0,1,1,7907.945000000001,7.0,1,2023-12-26,1.0
CUST_1045,68.0,1,2,2020.07,9.0,0,2022-04-05,3.0
CUST_1044,78.0,0,0,1801.37,8.0,3,2019-11-18,5.0
CUST_1039,78.0,1,2,4112.45,4.0,1,2015-10-07,6.0
CUST_1022,59.0,0,2,4394.55,6.0,1,2019-09-01,7.0
CUST_1080,44.0,2,2,626.27,2.0,0,2019-02-12,3.0
CUST_1010,54.0,0,1,1621.73,10.0,1,2021-02-05,1.0
CUST_1000,55.0,0,2,792.4,6.0,3,2016-08-28,9.0
CUST_1018,38.0,1,0,3975.15,7.0,0,2023-07-06,3.0
CUST_1030,40.0,2,0,2041.03,5.0,0,2021-11-24,5.0
CUST_1073,57.0,0,0,2051.89,10.0,3,2016-01-22,9.0
CUST_1033,26.0,2,2,2280.56,10.0,2,2018-12-07,4.0
CUST_1004,68.0,2,0,4546.25,0.0,2,2015-06-12,2.0
CUST_1076,30.0,0,0,4456.74,0.0,3,2021-10-04,9.0
CUST_1077,48.0,1,0,4533.09,6.0,0,2017-06-08,7.0
CUST_1012,23.0,1,0,2616.83,3.0,3,2020-06-15,8.0
CUST_1031,72.0,2,0,3341.01,10.0,0,2019-10-12,7.0
CUST_1055,31.0,2,2,1314.46,7.0,3,2021-03-06,6.0
CUST_1088,75.0,1,0,1848.31,2.0,3,2018-11-20,6.0
CUST_1026,44.0,0,1,3211.83,10.0,1,2021-11-17,6.0
CUST_1042,61.0,0,1,3975.12,8.0,1,2024-07-06,1.0
CUST_1069,71.0,0,1,4492.95,2.0,2,2020-03-15,6.0
CUST_1015,35.0,0,0,2012.89,5.0,1,2021-02-26,8.0
CUST_1040,72.0,0,0,4374.05,6.0,3,2016-11-22,10.0
